graph,scenario,gamma_u,q,estimator,gate,bias,sd,rmse,reps
synthetic,S2,0.0,0.8,IPW-assign,0.01977848981560919,0.1320378807492342,2.1411835435352025,2.1452507939769454,1000
synthetic,S2,0.0,0.8,IPW-alloc,0.01977848981560919,0.016489468528509427,4.457904226078095,4.457934722655469,1000
synthetic,S2,0.0,0.9,EARL,0.01977848981560919,-0.02259660262796257,2.404925853521866,2.4050320096389988,1000
synthetic,S2,0.0,0.9,EARL-centred,0.01977848981560919,-0.030732921953084996,9.060302273017555,9.06035439654205,1000
synthetic,S2,0.0,0.9,ERL-drop,0.01977848981560919,-0.022314791346727203,2.164433268169679,2.164548295204458,1000
synthetic,S2,0.0,0.9,IPW-assign,0.01977848981560919,0.003984508828686135,2.338637606363267,2.338641000711122,1000
synthetic,S2,0.0,0.9,IPW-alloc,0.01977848981560919,-0.09351243150701224,3.097157777349822,3.098569165380183,1000
synthetic,S2,0.0,1.0,EARL,0.01977848981560919,0.04836839704321767,2.231559950741389,2.2320840744885575,1000
synthetic,S2,0.0,1.0,EARL-centred,0.01977848981560919,0.04836839704321767,2.231559950741389,2.2320840744885575,1000
synthetic,S2,0.0,1.0,ERL-drop,0.01977848981560919,0.04836839704321767,2.231559950741389,2.2320840744885575,1000
synthetic,S2,0.0,1.0,IPW-assign,0.01977848981560919,0.11901434395340448,2.646308086083643,2.648982993629505,1000
synthetic,S2,0.0,1.0,IPW-alloc,0.01977848981560919,0.11901434395340445,2.646308086083643,2.648982993629505,1000
synthetic,S2,1.0,0.1,EARL,0.0026019468617708413,0.12463271738838452,9.475403040078461,9.476222669722983,1000
synthetic,S2,1.0,0.1,EARL-centred,0.0026019468617708413,0.2730352894934173,12.23444304968239,12.23748932605175,1000
synthetic,S2,1.0,0.1,ERL-drop,0.0026019468617708413,0.010121519563244724,0.947540304007846,0.9475943609359176,1000
synthetic,S2,1.0,0.1,IPW-assign,0.0026019468617708413,0.01162394937519889,0.9498953869866836,0.9499665059451615,1000
synthetic,S2,1.0,0.1,IPW-alloc,0.0026019468617708413,-0.40744597082621437,11.803206290683828,11.810236702097923,1000
synthetic,S2,1.0,0.2,EARL,0.0026019468617708413,0.2071586364443139,6.44474281302686,6.448071388152804,1000
synthetic,S2,1.0,0.2,EARL-centred,0.0026019468617708413,0.23500483647759804,8.64097139760821,8.644166470368964,1000
synthetic,S2,1.0,0.2,ERL-drop,0.0026019468617708413,0.03935016979944616,1.288948562605372,1.2895490812317691,1000
synthetic,S2,1.0,0.2,IPW-assign,0.0026019468617708413,0.0412834887252167,1.2946137606914419,1.2952718308575089,1000
